Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	StopIter	Time
293	69.24285	0.2290181	69.6	68.6	284.2143	1176000	3.0	18203.183017730713
294	67.39286	6.6013503	69.4	43.6	269.42856	1180000	1.0	18262.640270233154
295	62.64667	14.130811	69.4	21.0	255.26666	1184000	2.0	18321.71784710884
296	57.1	12.3323765	69.3	42.3	401.25	1188000	4.0	18380.406483650208
297	38.083332	23.90969	69.1	10.5	441.22223	1192000	4.0	18439.175199985504
298	65.649994	8.9411955	69.2	42.0	482.0	1196000	4.0	18498.10969042778
299	68.993324	0.25940034	69.2	68.5	257.53333	1200000	5.0	18557.47361922264
300	61.94666	11.246799	69.2	43.3	254.0	1204000	3.0	18616.58952665329
301	68.90625	0.23840292	69.1	68.6	246.25	1208000	4.0	18675.87805390358
302	69.11817	0.09359791	69.3	69.0	259.18182	1212000	6.0	18735.225582122803
303	67.41332	6.3644695	69.2	43.6	266.66666	1216000	5.0	18794.555256843567
304	65.70714	12.288638	69.2	21.4	273.5	1220000	8.0	18854.352392196655
305	69.14375	0.12732257	69.3	68.8	245.75	1224000	5.0	18913.74223089218
306	69.1875	0.033071388	69.2	69.1	244.125	1228000	4.0	18973.089483737946
307	69.15	0.16583082	69.2	68.6	327.08334	1232000	3.0	19032.345505952835
308	69.19375	0.04284837	69.3	69.1	245.4375	1236000	5.0	19091.973239421844
309	69.2	0.0	69.2	69.2	245.0	1240000	18.0	19153.02253627777
310	56.96	14.990877	69.2	38.6	788.6	1244000	2.0	19212.463361740112
311	69.2	0.0	69.2	69.2	245.0	1248000	10.0	19272.715774297714
312	32.26875	20.193686	69.2	15.6	158.20833	1252000	1.0	19332.335282564163
313	69.2	0.0	69.2	69.2	245.0	1256000	3.0	19393.231788396835
314	62.75	19.35	69.2	4.7	380.9	1260000	19.0	19457.395973205566
315	69.2	0.0	69.2	69.2	245.0	1264000	5.0	19520.0840549469
316	69.2	0.0	69.2	69.2	245.0	1268000	19.0	19586.257304430008
317	69.2	0.0	69.2	69.2	245.0	1272000	19.0	19652.12157726288
318	69.2	0.0	69.2	69.2	245.0	1276000	19.0	19718.51336812973
319	69.19375	0.024205776	69.2	69.1	245.0625	1280000	19.0	19784.810279130936
320	67.60625	6.1725664	69.2	43.7	243.375	1284000	7.0	19849.6827814579
321	69.2	0.0	69.2	69.2	245.0	1288000	7.0	19915.784993171692
322	69.2	0.0	69.2	69.2	245.0	1292000	6.0	19982.773186683655
323	62.520588	16.133915	69.2	7.05	227.82353	1296000	5.0	20050.89074254036
324	69.2	0.0	69.2	69.2	245.0	1300000	4.0	20118.772644758224
325	66.46	8.219999	69.2	41.8	380.9	1304000	19.0	20187.737931728363
326	69.18001	0.07483201	69.2	68.9	262.93332	1308000	10.0	20255.494015216827
327	69.2	0.0	69.2	69.2	245.0	1312000	7.0	20321.767103672028
328	65.96	6.479999	69.2	53.0	516.8	1316000	8.0	20386.30957365036
329	66.9125	8.859449	69.2	32.6	239.3125	1320000	7.0	20449.463089942932
330	67.575	6.2163587	69.3	43.5	242.3125	1324000	19.0	20513.761114358902
331	62.070004	14.584968	69.2	28.3	256.93332	1328000	3.0	20573.665178775787
332	69.2	0.0	69.2	69.2	244.8125	1332000	5.0	20633.712953090668
333	69.26429	0.0811291	69.4	69.1	245.35715	1336000	3.0	20692.953025579453
334	69.2	0.0	69.2	69.2	242.4375	1340000	5.0	20752.40015721321
335	69.2	0.0	69.2	69.2	242.0	1344000	4.0	20811.794498443604
336	69.181816	0.057495084	69.2	69.0	254.90909	1348000	4.0	20870.940944194794
337	69.2	0.0	69.2	69.2	242.9375	1352000	7.0	20931.57573390007
